text,label
 A post that has a list of recommendations to prevent and treat the new coronavirus.,Fake
" The first person to received a Chinese COVID-19 vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on.",Fake
" A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.",Fake
 RNA-based COVID-19 vaccines can turn humans into genetically modified organisms.,Fake
 A post that shows a doctor from Santiago del Estero (Argentina) who is fighting against the coronavirus.,Fake
" According to the Brazilian Civil Registry, there were more deaths in 2019 than in 2020, considering the first semester only.",Fake
 A journalist who denounced politicians in Pará for stealing funds destined to fight COVID-19 was shot and killed.,Fake
" Ziraldo, Brazilian artist, said that “thanks to this wonderful drug chloroquine”, Bolsonaro was cured of COVID-19 in seven days.",Fake
" A chain indicating that a newborn named Martín Sosa is admitted to the Children’s Hospital (CABA, Argentina).",Fake
" Uruguay gave 55,000 doses of medecine for Brazil to fight COVID-19.",Fake
" WHO approved home remedy made with pepper, ginger juice and honey as a cure for COVID-19.",Fake
" The Federal Government fired 396 thousand public servants who received, illegally, the emergency COVID-19 allowance.",Fake
 A publication on social media that claims that “cases of pleurisy induced by hypoxia are occurring” due to the use of the mask by supermarket employees.,Fake
 A post that indicates that Spanish doctors say that face masks don’t work outdoors.,Fake
" An audio that denounces the falsification of death certificates at the Hospital de Clínicas (CABA, Argentina) to increase deaths from coronavirus.",Fake
 Content stating that “WHO now admits that” perhaps “there was never a reason for a lockdown.”,Fake
 French doctors protest after discovering COVID-19 pandemic is a fraud.,Fake
" A viral message that says that “those over 60 years of age” can get from pharmacies “a pack of three masks per month (…) from Wednesday 29 July.” The text is shared as coming from the Spanish regions of Andalusia, Catalonia, Castilla y León, the Valencian Community or the Basque Country.",Fake
" Claim that Globo deliberately distorted a graphic to manipulate COVID-19 stats in Petrolina, Brazil. The graphics shown by the TV station show different sized columns representing 8 total deaths in 2 separate days, giving the impression that the number of confirmed deaths grew, when it remained stagnant.",Fake
 A graph that correlates greater vaccination against influenza in those over 65 years of age and a higher mortality rate compared to COVID-19.,Fake
" Ivermectin has had good results in the COVID-19 treatment in Bolivia, the Dominican Republic, New Zealand, Australia, and African countries.",Fake
 A message that claims that there are criminals stopping on the street those who do not wear a mask to distribute one that is “impregnated with a certain substance” in order to steal from them.,Fake
" A picture showing the Italian Prime Minister Giuseppe Conte, the French President Emmanuel Macron and the German Chancellor Angela Merkel having a drink together, with no masks and not respecting social distancing measures.",Fake
" A publication that claims that in 1918 the American city of Philadelphia “prematurely ended its quarantine of the Spanish flu and launched a demonstration against the measures of staying at home”, which led to a peak of infections, hospitalizations and deaths.",Fake
" Alberto Fernández, president of Argentina: “When the health system is saturated, mortality doubles or triples. This is what happened, for example, in the Basque Country”.",Fake
 A study in Germany of 780 patients proved that Vitamin D is an effective treatment against COVID-19.,Fake
 An image that compares the main causes of death in the world in 2017 with those caused by COVID-19 this year.,Fake
 WHO changed its directives: No need to isolate infected people.,Fake
" The governor of Bahia, Rui Costa, determined that all hydroxychloroquine tablets were confiscated from pharmacies around the state.",Fake
" Brazilian prefectures are being paid 19 thousand reais per COVID-19 death, which is why numbers are being inflated.",Fake
 An image in which two people turn their backs to the State ceremony that took place this July 16 in honor of the victims of COVID-19. He moves with a message that they are members of Podemos who turned around while King Felipe VI spoke.,Fake
" A quote by doctor Alberto Zangrillo, saying that Covid-19 is a consequence of immigration.",Fake
 Oxford’s vaccine is a result of research from brazilian foundation Fiocruz.,Fake
 Some statements by the American political scientist and activist Susan George in which she says that “Spaniards are laboratory rats: let’s see how much punishment they tolerate without rebelling.” The phrase is shared related to the current coronavirus pandemic.,Fake
" A video with text that claims to offer information about the coronavirus that “comes from the Japanese Ministry of Health.” It claims that when the first symptoms of the infection appear, the lungs already show 50% fibrosis.",Fake
 French Prime Minister and Health Minister were expelled from the government after banning chloroquine in the country.,Fake
" A small city on the countryside of Brazil cured 1,500 people with hydroxichloroquine and the city has no deaths.",Fake
 Singapore’s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,Fake
 US Education Secretary Betsy DeVos said children are “stoppers” of coronavirus.,Fake
" If a patient is diagnosed with COVID-19 and the doctor refuses to prescribe hydroxichloroquine, the patient is entitled to a lawsuit.",Fake
" The total number of deaths in Brazil decreased, rather than increased, when we compare 2019 to 2020.",Fake
" People who are sick with COVID-19, when locked at home, keep breathing their own viruses and getting re-infected.",Fake
 A text that ensures that the guava tree leaf can “prevent or reverse” the effects of COVID-19.,Fake
 An article stating that 25 police officers tested positive to Covid-19 after assisting positive migrants.,Fake
 Ghana’s president said the coronavirus was created in a laboratory.,Fake
 Ecuador found the cure for coronavirus.,Fake
" A photograph of former United States President Barack Obama, with a caption saying it was taken in a “Chinese laboratory in Wuhan. Barack Obama, Anthony Fauci and Melinda Gates, visit the virus factory probably to check on the progress of Coronavirus research.”",Fake
" An image that claims that asymptomatic carriers of the novel coronavirus are immune, do not spread the coronavirus and communicate “antibodies” to other people.",Fake
 The coronavirus is an amplified bacterium and is related to 5G.,Fake
 A plasma donors list for COVID-19 treatment is shared on Indian WhatsApp chains.,Fake
" There is a natural recipe to cure COVID-19: hydroxychloroquine, ivermectin, garlic tea, vitamin D, honey, herbs.",Fake
" An image that claims that an alleged therapy called biomagnetism is capable can wipe out “all kinds of viruses, bacteria, fungi and parasites”, including the coronavirus “quickly and effectively.”",Fake
" A WhatsApp message says taht in Ecuador, the cure for the coronavirus has already been found thanks to the fact that Ecuadorian doctors who “disobeyed the global law” from the World Health Organization (WHO) not to do autopsies. Thus they would have discovered that the cause of the disease is a bacterium and its remedy, antibiotics, anti-inflammatories and anticoagulants.",Fake
" Use of ivermectin, azithromycin and aspirin before the COVID-19 diagnosis is confirmed can cure or alleviate the infection.",Fake
 The rapid diagnostic tests for coronavirus are being manipulated to show more coronavirus infections.,Fake
 A web article stating that Kazakhstan is dealing with a new outbreak of a particular kind of pneumonia which is “more dangerous than Covid-19”.,Fake
" The WHO approved a Chinese vaccine against COVID-19 that costs US$10000 per dose; it also forbade tests with an American vaccine, which would be given at very low cost.",Fake
" Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the “Wuhan lab in 2015.”",Fake
 A student from Pondicherry University in India has found a home remedy for COVID-19 that has been accepted by World Health Organization (WHO).,Fake
" The mayor of Porto Alegre, Brazil, removed the benches of Redenção Park as a measure against people meeting up.",Fake
 Masks produce hypoxia and hypercapnia.,Fake
 Deaths from other causes are ‘passed’ as COVID-19.,Fake
" Fiocruz, a Brazilian state-owned science institute, developed the ChAdOx1 nCov-2019. Then, they offered it to Oxford University, because they were not getting any support from Jair Bolsonaro.",Fake
 A photo of Jair Bolsonaro In which he is hospitalized with a tube in his nose. The caption with the photo link it to COVID-19.,Fake
 Testing kit for COVID-19 is harmful to brain tissue.,Fake
 Africa managed the pandemic by prescribing ivermectin.,Fake
" Manuel Elkin Patarroyo, a famous Colombian scientific, wrote a message about the coronavirus and sided against the WHO.",Fake
 WHO warns that wearing masks is unnecessary for healthy people.,Fake
 The WHO claimed that “maybe there was no need for a lockdown”.,Fake
 Covid-19 test using a swab is used to “collect DNA” from the population.,Fake
" Monkeys roaming in a Hyderabad Hospital, threatening COVID-19 patients.",Fake
 The U.S. government has approved a second round of coronavirus stimulus payments to everyone who signs up — and that the money will be forthcoming in “5-7 business days.”,Fake
 Pistol shaped infrared themometers are dangerous and can burn neurons.,Fake
" PAHO, the PanAmerican health organisation, has conducted studies of Ivermectin and there is scientific evidence of its efficacy against Covid-19.",Fake
 The COVI-PASS mobile application is collaborating with the Portuguese Government.,Fake
" Mayor of Cali, Colombia, will close the city for 14 days due to coronavirus.",Fake
 A fake document which says that the Italian government is extending the state of emergency until Spring 2021.,Fake
 French doctors protested by throwing away their vests after finding out COVID-19 is a fraud.,Fake
 Brazilian Congress takes advantage of pandemic to pass a law allowing abortion for up to 22 weeks of pregnancy.,Fake
 A statement of a public and famous university (Antioquia University) says that Colombia will have 500 deaths of coronavirus per day.,Fake
 The new coronavirus was created in a laboratory.,Fake
" Edouard Philippe, France’s ex-prime minister, is being sued because he forbade hydroxychloroquine in the country.",Fake
" While everyone was worried about COVID-19, the Chamber of Deputies approved two bills which legalize abortion.",Fake
" Masks are causing us to breathe the waste from our own body, which favors cancer, causes hypoxia or intoxicates the blood.",Fake
 Eiffel tower reopens with hommage to COVID-19 deaths.,Fake
 Wearing a mask can cause a fungal infection.,Fake
 A video of an air show in Italy that was made to raise the spirits of the population due to the quarantine.,Fake
